City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
229,Avarua,CK,2021-09-26 13:00:51,-21.2078,-159.775,71.65,88,75,2.3
230,Yar-Sale,RU,2021-09-26 13:04:23,66.8333,70.8333,35.92,75,18,8.25
231,Tarata,BO,2021-09-26 13:04:23,-17.6167,-66.0167,64.08,49,0,3.51
232,Grand-Lahou,CI,2021-09-26 13:04:24,5.1367,-5.0242,77.99,86,95,7.87
233,Nova Gradiska,HR,2021-09-26 13:04:24,45.255,17.3831,84.09,37,0,2.59
234,Kaifeng,CN,2021-09-26 13:04:24,34.7911,114.3483,64.2,92,100,10.33
235,Geraldton,AU,2021-09-26 13:04:25,-28.7667,114.6,62.13,67,81,9.22
236,Lorengau,PG,2021-09-26 13:04:25,-2.0226,147.2712,81.05,82,20,8.99
237,Torrington,US,2021-09-26 13:01:26,41.8007,-73.1212,64.35,78,3,3.0
238,Denpasar,ID,2021-09-26 13:00:10,-8.65,115.2167,80.26,83,20,13.8
239,Dubovskoye,RU,2021-09-26 13:04:26,47.4092,42.7575,62.55,69,98,19.91
240,Adrar,MR,2021-09-26 13:02:20,20.5022,-10.0711,101.52,12,24,7.54
241,Newport,GB,2021-09-26 13:01:58,51.5877,-2.9984,72.07,72,91,11.16
242,Panaba,MX,2021-09-26 13:04:26,21.2833,-88.2667,77.02,90,12,3.18
243,Leningradskiy,RU,2021-09-26 13:04:26,69.3833,178.4167,25.03,94,100,7.76
244,Marsh Harbour,BS,2021-09-26 13:00:08,26.5412,-77.0636,80.94,74,100,13.69
245,Castro,BR,2021-09-26 13:04:27,-24.7911,-50.0119,75.31,52,0,2.86
246,Bud,US,2021-09-26 13:04:27,39.447,-86.1758,56.3,85,4,5.91
247,Atambua,ID,2021-09-26 13:04:27,-9.1061,124.8925,74.55,80,48,4.18
248,Iqaluit,CA,2021-09-26 13:01:17,63.7506,-68.5145,34.7,74,100,11.01
249,Sao Felix Do Xingu,BR,2021-09-26 13:04:28,-6.6447,-51.995,94.03,38,8,1.92
250,Leshukonskoye,RU,2021-09-26 13:04:28,64.8989,45.7622,47.48,92,100,3.0
251,Okhotsk,RU,2021-09-26 13:04:29,59.3833,143.3,45.19,58,4,9.75
252,Umba,RU,2021-09-26 13:04:29,66.6871,34.3429,48.85,90,80,3.71
253,Naze,JP,2021-09-26 13:04:29,28.3667,129.4833,78.17,83,17,12.46
254,Kalmunai,LK,2021-09-26 13:04:29,7.4167,81.8167,84.51,71,100,6.55
255,Cedar City,US,2021-09-26 13:04:30,37.6775,-113.0619,59.4,50,1,0.0
256,Port Lincoln,AU,2021-09-26 13:00:15,-34.7333,135.8667,57.18,75,91,14.41
257,Aquiraz,BR,2021-09-26 13:04:30,-3.9014,-38.3911,87.22,53,36,17.34
258,Sebaco,NI,2021-09-26 13:04:31,12.8532,-86.0963,71.44,88,100,5.1
259,Quesnel,CA,2021-09-26 13:04:31,52.9999,-122.5029,52.3,100,90,6.91
260,Santa Cruz,BO,2021-09-26 13:00:07,-17.8,-63.1667,90.21,30,0,14.97
261,Voh,NC,2021-09-26 13:04:31,-20.9667,164.7,66.2,79,66,4.74
262,Gimbi,ET,2021-09-26 13:04:32,9.1667,35.8333,62.29,85,77,1.61
263,Bogotol,RU,2021-09-26 13:04:32,56.2078,89.5342,39.22,83,100,5.93
264,Vila,PT,2021-09-26 13:04:32,42.0304,-8.1588,62.22,80,100,7.96
265,The Valley,AI,2021-09-26 13:04:33,18.217,-63.0578,87.66,74,20,8.05
266,Strezhevoy,RU,2021-09-26 13:04:33,60.7333,77.5889,42.78,68,100,6.8
267,Bindura,ZW,2021-09-26 13:04:34,-17.3019,31.3306,84.02,19,31,7.16
268,Bira,RU,2021-09-26 13:04:34,49.0,132.4667,50.02,81,36,2.86
269,Alyangula,AU,2021-09-26 13:04:34,-13.8483,136.4192,76.53,80,68,8.43
270,Hami,CN,2021-09-26 13:04:35,42.8,93.45,67.44,17,2,7.7
271,Urumqi,CN,2021-09-26 13:02:05,43.801,87.6005,59.95,25,0,2.24
272,Weyburn,CA,2021-09-26 13:04:35,49.6668,-103.8511,53.91,59,0,6.02
273,Pachino,IT,2021-09-26 13:04:35,36.7186,15.0907,87.6,70,92,12.44
274,Flinders,AU,2021-09-26 13:04:36,-34.5833,150.8552,54.21,81,77,1.99
275,Scarborough,GB,2021-09-26 13:01:40,54.2797,-0.4044,70.84,71,100,5.01
276,Vaini,TO,2021-09-26 13:04:36,-21.2,-175.2,66.36,100,75,5.75
277,Birao,CF,2021-09-26 13:04:36,10.2849,22.7882,84.92,58,70,5.99
278,Sabang,ID,2021-09-26 13:04:37,5.8933,95.3214,81.68,78,100,22.53
279,Leh,IN,2021-09-26 12:59:55,34.1667,77.5833,61.68,20,0,4.92
280,Beaverlodge,CA,2021-09-26 13:04:37,55.2166,-119.4361,50.76,96,100,2.19
281,Amot,NO,2021-09-26 13:04:37,59.5714,7.9877,59.76,54,100,6.53
282,Kununurra,AU,2021-09-26 13:04:38,-15.7667,128.7333,78.78,57,100,8.05
283,Yermish,RU,2021-09-26 13:04:38,54.7678,42.2711,52.07,83,94,3.15
284,Chortomlyk,UA,2021-09-26 13:04:38,47.6232,34.142,68.58,48,52,17.74
285,Alad,PH,2021-09-26 13:04:39,12.6168,122.2475,83.98,74,100,4.43
286,Fairview,US,2021-09-26 13:01:15,40.8126,-73.999,65.62,68,1,8.99
287,Campoverde,PE,2021-09-26 13:04:39,-8.4753,-74.8058,74.89,68,17,2.01
288,Mackay,AU,2021-09-26 13:04:39,-21.15,149.2,64.04,79,0,5.37
289,Flin Flon,CA,2021-09-26 13:04:40,54.7682,-101.865,43.39,92,42,0.96
290,Rudolstadt,DE,2021-09-26 13:04:40,50.7167,11.3333,81.73,51,40,8.32
291,Shankargarh,IN,2021-09-26 13:04:40,25.1833,81.6167,87.01,63,49,6.26
292,Gondanglegi,ID,2021-09-26 13:04:41,-7.7479,112.0132,76.78,82,100,14.72
293,Morondava,MG,2021-09-26 13:04:41,-20.2833,44.2833,80.53,67,0,14.56
294,Telimele,GN,2021-09-26 13:04:41,10.9167,-13.3333,86.14,58,100,3.04
